original,similar,precargado,cos_BOW,cos_TFIDF,cos_SEMANTICO,cos_NGRAMA_PALABRA,cos_NGRAMA_CARACTER,cos_MARKOV,cos_ESTILO,cos_COMBINADO,pred_BOW,pred_TFIDF,pred_SEMANTICO,pred_NGRAMA_PALABRA,pred_NGRAMA_CARACTER,pred_MARKOV,pred_ESTILO,pred_COMBINADO,acierto_BOW,acierto_TFIDF,acierto_MARKOV,acierto_SEMANTICO,acierto_NGRAMA_PALABRA,acierto_NGRAMA_CARACTER,acierto_COMBINADO
original.txt,medium_paraphrased.txt,medium,0.8214782228326174,0.7356428469967301,0.89913195,0.14931658224629568,0.7438334987085858,0.9102707545600934,0.9915600239661922,0.7492967806854991,medium,medium,medium,low,medium,high,high,medium,True,True,False,True,False,True,True
original.txt,high_minimal_changes.txt,high,0.9895505998231685,0.9814483623338937,0.9943117,0.8931153954998754,0.9799996672544151,0.994895403181884,0.9972832816865194,0.9789350439094282,high,high,high,medium,high,high,high,high,True,True,True,True,False,True,True
original.txt,low_different_perspective.txt,low,0.06531972647421809,0.03629358910512963,0.31144518,0.0,0.03331923293789137,0.14208542386617443,0.6207731884634327,0.10928407552437869,low,low,low,low,low,low,medium,low,True,True,True,True,True,True,True
original.txt,low_same_topic.txt,low,0.8046983094786029,0.7126290798391651,0.8677403,0.10002601815310525,0.7014724164252361,0.9149367991578123,0.9771272029709418,0.7203015533236042,medium,medium,medium,low,medium,high,high,medium,False,False,False,False,True,False,False
original.txt,medium_restructured.txt,medium,0.9139011897439365,0.8702851962821505,0.94075847,0.36113778031662214,0.876842940903124,0.9763130068750339,0.9804657497510326,0.8631396583115997,high,medium,high,low,medium,high,high,medium,False,True,False,False,False,True,True
original.txt,high_word_replacement.txt,high,0.9696234717068477,0.9459411420254361,0.9710822,0.7036775604964167,0.9456680232858656,0.98840610452706,0.9945458363248993,0.9402075302955725,high,high,high,medium,high,high,high,high,True,True,True,True,False,True,True
